2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL DOUTOR ALARICO SILVEIRA;RUA CONSELHEIRO BROTERO, 100;SÃO PAULO;Da 95ª à 110ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL JOÃO KOPKE;ALAMEDA CLEVELAND, 331;SÃO PAULO;372ª;; 502ª;" "",""377ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL JOSÉ CÂNDIDO DE SOUZA;RUA DIANA, 1071;SÃO PAULO;344ª;; 429ª; 433ª; 445ª; 451ª;" "",""445ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL MISS BROWNE;RUA PADRE CHICO, 102;SÃO PAULO;Da 282ª à 302ª.;282ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL PROFESSOR FIDELINO DE FIGUEIREDO;RUA IMACULADA CONCEICAO, 71;SÃO PAULO;Da 153ª à 172ª.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL PROFESSOR MAURO DE OLIVEIRA;RUA PEDRO SOARES DE ALMEIDA, 134;SÃO PAULO;Da 243ª à 259ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL PROFESSORA ZULEIKA DE BARROS MARTINS FERREIRA;RUA PADRE CHICO, 420;SÃO PAULO;Da 303ª à 327ª.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;FAAP - FUNDAÇÃO ARMANDO ÁLVARES PENTEADO;RUA ALAGOAS, 903;SÃO PAULO;Da 136ª à 152ª;; 488ª; 490ª; 492ª; 518ª;" "",""442ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;FACULDADE SANTA MARCELINA;RUA DR. EMÍLIO RIBAS, 89;SÃO PAULO;510ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;FACULDADES OSWALDO CRUZ;RUA BRIGADEIRO GALVÃO, 540;SÃO PAULO;Da 204ª à 230ª;;" "",""204ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
