neighbourhood,zone,name,address,sections1,sections2
"JARDIM CIDADE PIRITUBA","325a. ZE - SÃO PAULO - PIRITUBA","COLÉGIO CANELLO MARQUES","AV. MENOTTI LAUDÍSIO, 221","629ª; 633ª; 636ª; 638ª; 641ª; 643ª; 646ª; 654ª; Da 656ª à 657ª; 661ª; 663ª; 665ª; 667ª; 670ª; 672ª; ","657ª; "
"JARDIM CIDADE PIRITUBA","325a. ZE - SÃO PAULO - PIRITUBA","EE. PROF. ALÍPIO DE BARROS","AV. COMENDADOR FEIZ ZARZUR, S/N","Da 154ª à 168ª; 497ª; ","497ª; "
"JARDIM CIDADE PIRITUBA","325a. ZE - SÃO PAULO - PIRITUBA","EE. PROF. CÂNDIDO GONÇALVES GOMIDE","RUA AVELINO ZANETTI, 50","Da 137ª à 153ª.","139ª; "
"JARDIM CIDADE PIRITUBA","325a. ZE - SÃO PAULO - PIRITUBA","EM. GUIOMAR CABRAL","AV. MENOTTI LAUDÍSIO, 553","436ª; 448ª; 453ª; 463ª; 486ª; 514ª; 533ª; 565ª; 610ª; 620ª; ","486ª; "
"JARDIM CIDADE PIRITUBA","325a. ZE - SÃO PAULO - PIRITUBA","EMEF. IMPERATRIZ LEOPOLDINA","AV. COMENDADOR FEIZ ZARZUR, S/N","Da 169ª à 179ª; 650ª; ","650ª; "
"JARDIM CIDADE PIRITUBA","325a. ZE - SÃO PAULO - PIRITUBA","EMEI. PROFA. EUNICE DOS SANTOS","RUA SILVINO DE GODOY, 185","386ª; 389ª; 402ª; 412ª; 503ª; 581ª; ","581ª; "
"JARDIM CLAUDIA","374a. ZE - SÃO PAULO - RIO PEQUENO","EMEF. TENENTE ALÍPIO ANDRADA SERPA","RUA NICOLAU COPÉRNICO, 165","341ª; 381ª; 403ª; 435ª; 467ª; 492ª; 527ª; 596ª; ","527ª; 596ª; "
"JARDIM CLÍMAX","413a. ZE - SÃO PAULO - CURSINO","EMEF. OLAVO FONTOURA","RUA DR. LAFAIETTE DE SOUSA CAMARGO, 72","Da 216ª à 225ª; 276ª; 285ª; 294ª; 309ª; 354ª; ","354ª; "
"JARDIM CLIPER","280a. ZE - SÃO PAULO - CAPELA DO SOCORRO","EMEF. DR. AFRÂNIO DE MELLO FRANCO","RUA ACAMBARO, 39","Da 355ª à 364ª; 605ª; 633ª; 835ª; 868ª; ","835ª; "
"JARDIM COIMBRA","372a. ZE - SÃO PAULO - PIRAPORINHA","EE. DOUTORA  ROSA PAVONE PIMONT","RUA CONDE DE PROENÇA, 28","206ª; 220ª; 234ª; 245ª; 258ª; 273ª; 285ª; 302ª; 433ª; 487ª; 633ª; ","220ª; "
"JARDIM COIMBRA","392a. ZE - SÃO PAULO - PONTE RASA","EMEF. DONA JENNY GOMES","RUA JOHN NEPER, 109","Da 30ª à 42ª; 308ª; 368ª; ","41ª; 308ª; "
"JARDIM COLOMBO","346a. ZE - SÃO PAULO - BUTANTÃ","COLÉGIO SANTO AMÉRICO","RUA SANTO AMÉRICO, 275","Da 47ª à 56ª; 528ª; 535ª; 542ª; 550ª; 656ª; ","47ª; "
"JARDIM COLOMBO","346a. ZE - SÃO PAULO - BUTANTÃ","EE. PROF. ANDRONICO DE MELLO","RUA THEO DUTRA, 33","Da 400ª à 410ª; 572ª; 637ª; ","572ª; "
"JARDIM COLONIAL","375a. ZE - SÃO PAULO - SÃO MATEUS","EMEF. RODRIGO MELLO FRANCO DE ANDRADE","AV. JOSÉ VELHO BARRETO, 371","Da 28ª à 47ª.","35ª; "
"JARDIM COLORADO","348a. ZE - SÃO PAULO - VILA FORMOSA","EE. PROF. SANTOS AMARO DA CRUZ","ESTRADA DA BARREIRA GRANDE, 785","Da 127ª à 131ª; Da 141ª à 143ª; Da 180ª à 183ª; 226ª; 243ª; 253ª; 282ª; ","282ª; "
"JARDIM COMERCIAL","20a. ZE - SÃO PAULO - VALO VELHO","EE. DR. AFIZ GEBARA","RUA BACIA DE SÃO FRANCISCO, S/N","Da 14ª à 32ª.","31ª; 32ª; "
"JARDIM COMERCIAL","20a. ZE - SÃO PAULO - VALO VELHO","EE. PROFª MAUD SÁ DE MIRANDA MONTEIRO","RUA FALKENBERG, 240","Da 250ª à 266ª.","264ª; 265ª; 266ª; "
"JARDIM COMERCIAL","20a. ZE - SÃO PAULO - VALO VELHO","EMEF. CAMPO LIMPO 2","RUA ALGARD, S/N","Da 338ª à 341ª; 356ª; 367ª; 384ª; 394ª; ",""
"JARDIM COMERCIAL","20a. ZE - SÃO PAULO - VALO VELHO","EMPG. EUCLIDES DA CUNHA","RUA COSTA NOVA DO PRADO, 108","Da 53ª à 68ª.","67ª; 68ª; "
"JARDIM CONSÓRCIO","418a. ZE - SÃO PAULO - PEDREIRA","CIEJA - CENTRO INTEGRADO DE EDUCAÇÃO DE JOVENS E ADULTOS","RUA FRANCISCO RAMOS, 132","368ª; 372ª; 392ª; 403ª; 407ª; 424ª; ","368ª; 372ª; 392ª; 403ª; 407ª; 424ª; "
"JARDIM CONSÓRCIO","418a. ZE - SÃO PAULO - PEDREIRA","EE. CONDE PEREIRA CARNEIRO","AVENIDA JOÃO PEIXOTO VIEGAS, 441","Da 6ª à 19ª.",""
"JARDIM CONSÓRCIO","418a. ZE - SÃO PAULO - PEDREIRA","EMEI - DR. JOÃO DE DEUS BUENO DOS REIS","RUA FRANCISCO RAMOS, N. 32","452ª; 461ª; 465ª; ","452ª; 461ª; "
"JARDIM CORISCO","256a. ZE - SÃO PAULO - TUCURUVI","E.M.E.F. CORONEL HÉLIO FRANCO CHAVES","RUA KOTINDA, 1343","279ª; 291ª; 304ª; 330ª; 374ª; 423ª; 437ª; 459ª; ","423ª; 459ª; "
"JARDIM COTINHA","392a. ZE - SÃO PAULO - PONTE RASA","EMEI GENERAL MIGUEL COSTA","RUA ARROJADO LISBOA,37","274ª; 305ª; 326ª; 362ª; ","305ª; "
"JARDIM DA CONQUISTA","375a. ZE - SÃO PAULO - SÃO MATEUS","EE. CONJUNTO HABITACIONAL CARRÃOZINHO 3","TRAVESSA SINHÁ MOÇA, 52","470ª; 475ª; 625ª; 642ª; 660ª; 669ª; 678ª; 719ª; 728ª; 731ª; 736ª; Da 740ª à 741ª; ","625ª; "
"JARDIM DA CONQUISTA","375a. ZE - SÃO PAULO - SÃO MATEUS","E.E. VILA BELA","TRAVESSA TERRA TOMBADA, S/N","495ª; 499ª; 505ª; 511ª; 515ª; 520ª; 525ª; 552ª; 557ª; 569ª; 576ª; 583ª; 589ª; 595ª; 601ª; 607ª; 611ª; 616ª; 624ª; 633ª; ","633ª; "
